2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
9.3,7.4,5.888172043,7.8,7.1,6.408165612,7,8.6,19,6.3,6.4
3.3,2.9,2.548484848,2.9,2.1,2,1.9,1.9,2,1.7,1.7
8.6,10.8,9.7,8.9,8.4,7.8,8.5,10.8,10.3,10.1,9.7
4.8,5.824242424,6.2,6.6,6.8,5.360548763,5.3,5.24013515,5,6.7,7.1
11.1,11.8,9.9,9.8,11.1,11.5,11.2,12.7,12.3,12.2,11.4
4.8,5.114865047,5.2,5.2,5.5,5.9,5.4,4.3,4.7,5.137209302,4.6
10.6,11.3,9.6,11,11,10,11.3,12,11.3,13.6,14.8
2.7,2.7,2.7,2.7,2.7,2.5,2.9,2.8,2.9,3.2,3.5
3.78606613,3.781627067,3.835286602,3.801666484,3.9,3.8,4,3.7,4.3,3.4,3.5
2.1,2.1,2.1,2.2,2.2,2.4,2.4,2.3,2.3,2.4,2.3
8.9,8.5,8.3,8.2,8.2,9.6,10.2,10.4,9.6,9.8,9.6
5.560148009,5.9,5.4,5.1,5.8,5.7,5.6,5.2,5.5,5.6,5.3
8.7,8.5,7.8,8.5,9.4,12,9.111770926,8.4,8.31875,9.075,9.9
15.4,14.9,14.41623377,13.6,13.7,12.3,16.8,14.03138964,14.24499928,67.7,14.8
